aba,,,,,,1B,
abx,,,,,,3A,
aby,,,,,,18 3A,
adca,89,99,A9,18 A9,B9,,
adcb,C9,D9,E9,18 E9,F9,,
adda,8B,9B,AB,18 AB,BB,,
addb,CB,DB,EB,18 EB,FB,,
addd,C3,D3,E3,18 E3,F3,,
anda,84,94,B4,18 A4,B4,,
andb,C4,D4,E4,18 E4,F4,,
asl,,,68,18 68,78,,
asla,,,,,,48,
aslb,,,,,,58,
asld,,,,,,5,
asr,,,67,18 67,77,,
asra,,,,,,47,
asrb,,,,,,57,
bcc,,,,,,,24
bclr,,15,1D,18 1D,,,
bcs,,,,,,,25
beq,,,,,,,27
bge,,,,,,,2C
bgt,,,,,,,2E
bhi,,,,,,,22
bhs,,,,,,,24
bita,85,95,A5,18 A5,B5,,
bitb,C5,D5,E5,18 E5,F5,,
ble,,,,,,,2F
blo,,,,,,,25
bls,,,,,,,23
blt,,,,,,,2D
bmi,,,,,,,2B
bne,,,,,,,26
bpl,,,,,,,2A
bra,,,,,,,20
brclr,,13,1F,18 1F,,,
brn,,,,,,,21
brset,,12,1E,18 1E,,,
bset,,14,1C,18 1C,,,
bsr,,,,,,,8D
bvc,,,,,,,28
bvs,,,,,,,29
cba,,,,,,11,
clc,,,,,,0C,
cli,,,,,,0E,
clr,,,6F,18 6F,7F,,
clra,,,,,,4F,
clrb,,,,,,5F,
clv,,,,,,0A,
cmpa,81,91,A1,18 A1,B1,,
cmpb,C1,D1,E1,18 E1,F1,,
com,,,63,18 63,73,,
coma,,,,,,43,
comb,,,,,,53,
cpd,1A 83,1A 93,1A A3,CD A3,1A B3,,
cpx,8C,9C,AC,CD AC,BC,,
cpy,18 8C,18 9C,1A AC,18 AC,18 BC,,
daa,,,,,,19,
dec,,,6A,18 6A,7A,,
deca,,,,,,4A,
decb,,,,,,5A,
des,,,,,,34,
dex,,,,,,0 9,
dey,,,,,,18 09,
eora,88,98,A8,18 A8,B8,,
eorb,C8,D8,E8,18 E8,F8,,
fdiv,,,,,,0 3,
idiv,,,,,,0 2,
inc,,,6C,18 6C,7C,,
inca,,,,,,4C,
incb,,,,,,5C,
ins,,,,,,31,
inx,,,,,,0 8,
iny,,,,,,18 08,
jmp,,,6E,18 6E,7E,,
jsr,,9D,AD,18 AD,BD,,
ldaa,86,96,A6,18 A6,B6,,
ldab,C6,D6,E6,18 E6,F6,,
ldd,CC,DC,EC,18 EC,FC,,
lds,8E,9E,AE,18 AE,BE,,
ldx,CE,DE,EE,CD EE,FE,,
ldy,18 CE,18 DE,1A EE,18 EE,18 FE,,
lsl,,,68,18 68,78,,
lsla,,,,,,48,
lslb,,,,,,58,
lsld,,,,,,0 5,
lsr,,,64,18 64,74,,
lsra,,,,,,44,
lsrb,,,,,,54,
lsrd,,,,,,0 4,
mul,,,,,,3D,
neg,,,60,18 60,70,,
nega,,,,,,40,
negb,,,,,,50,
nop,,,,,,0 1,
oraa,8A,9A,AA,18 AA,BA,,
orab,CA,DA,EA,18 EA,FA,,
psha,,,,,,36,
pshb,,,,,,37,
pshx,,,,,,3C,
pshy,,,,,,18 3C,
pula,,,,,,32,
pulb,,,,,,33,
pulx,,,,,,38,
puly,,,,,,18 38,
rol,,,69,18 69,79,,
rola,,,,,,49,
rolb,,,,,,59,
ror,,,66,18 66,76,,
rora,,,,,,46,
rorb,,,,,,56,
rti,,,,,,3B,
rts,,,,,,39,
sba,,,,,,10,
sbca,82,92,A2,18 A2,B2,,
sbcb,C2,D2,E2,18 E2,F2,,
sec,,,,,,OD,
sei,,,,,,OF,
sev,,,,,,OB,
staa,,97,A7,18A 7,B7,,
stab,,D7,E7,18 E7,F7,,
std,,DD,ED,18 ED,FD,,
stop,,,,,,CF,
sts,,9F,AF,18 AF,BF,,
stx,,DF,EF,CD EF,FF,,
sty,,18 DF,1A EF,18 EF,FF,,
suba,80,90,A0,18 A0,B0,,
subb,C0,D0,E0,18 E0,F0,,
subd,83,93,A3,18 A3,B3,,
swi,,,,,,3F,
tab,,,,,,16,
tap,,,,,,0 6,
tba,,,,,,17,
tets,,,,,,0 0,
tpa,,,,,,0 7,
tst,,,6D,18 6D,7D,,
tsta,,,,,,4D,
tstb,,,,,,5D,
tsx,,,,,,30,
tsy,,,,,,18 30,
txs,,,,,,35,
tys,,,,,,18 35,
wai,,,,,,3E,
xgdx,,,,,,8F,
xgdy,,,,,,18 8F,
